what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498057599550
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498057606533
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498057618031
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498057619452
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1498057619751
error,log,,,"No Byte Stream Services found for Nios II Console View",1498057621769
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1498057645742
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1498057645743
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498057692861
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498057697292
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1498057697396
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1498057697437
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.openLocalFile",1498057697438
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1498057698739
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1498057699490
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1498057700871
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1498057701651
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1498057702383
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1498057703325
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1498057704169
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1498057704169
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1498057723774
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498057727054
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498057728650
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1498057728969
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498057728999
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498057730070
error,log,,,"No Byte Stream Services found for Nios II Console View",1498057733336
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1498057785396
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498057788900
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498057817766
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1498057855286
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1498057861978
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1498057868194
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1498057878110
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1498057879253
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1498057886464
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498057890536
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498057892100
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1498057892358
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498057892382
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498057892899
error,log,,,"No Byte Stream Services found for Nios II Console View",1498057896419
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1498057910080
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1498057935073
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498057939744
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498057941237
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1498057941551
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498057941588
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498057949015
error,log,,,"No Byte Stream Services found for Nios II Console View",1498057952215
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1498058015338
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1498058016419
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1498058017434
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498058024487
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1498058059005
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1498058085494
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1498058087444
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.text.c.goto.next.member",1498058099005
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordNext",1498058099545
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordNext",1498058100042
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordNext",1498058100075
